time, reg flux, resp flux
0.018,1.13693e-10,2.47304e-10
0.019,9.18512e-11,2.04089e-10
0.02,2.53615e-11,1.75888e-10
0.021,2.09144e-10,1.6797e-10
0.022,2.63945e-10,8.49825e-11
0.023,6.61779e-11,1.35732e-10
0.024,2.74903e-11,1.40706e-10


time, reg flux, resp flux
0,1.29643e-14,1.34866e-09
0.001,1.06701e-12,8.79098e-10
0.002,6.90647e-12,6.79559e-10
0.003,1.33242e-10,2.83676e-10
0.004,1.75546e-10,1.07264e-10
0.005,9.8236e-12,2.81783e-10
0.006,1.8523e-10,2.90054e-10
0.007,1.0896e-10,1.83849e-10
0.008,1.14323e-10,1.83485e-10
0.009,1.24906e-10,4.56306e-10
0.01,8.17954e-12,3.20912e-10
0.011,7.3934e-11,1.86757e-10
0.012,1.37056e-10,1.56204e-10
0.013,1.5666e-12,1.93579e-10
0.014,3.4191e-13,1.98509e-10
0.015,1.09855e-11,7.80795e-10
0.016,1.83048e-10,1.68028e-10
0.017,3.3311e-10,2.36855e-10
0.018,1.50159e-13,1.56518e-10
0.019,1.05078e-11,2.72271e-10
0.02,2.47703e-11,2.1535e-10
0.021,3.66338e-13,1.82524e-10
0.022,3.58811e-10,1.11203e-10
0.023,4.23114e-12,1.36212e-10
0.024,2.30162e-10,8.72103e-11


time, reg flux, resp flux
0,8.44566e-15,1.18813e-10
0.001,5.70846e-12,1.29981e-09
0.002,2.37635e-11,1.06505e-10
0.003,1.35252e-10,9.45113e-10
0.004,3.86952e-11,5.35718e-10
0.005,2.7092e-18,3.64785e-10
0.006,8.83803e-11,4.95246e-10
0.007,2.44026e-10,2.20514e-10
0.008,4.23754e-12,3.91327e-10
0.009,1.21512e-10,1.67138e-10
0.01,3.01445e-18,7.05028e-11
0.011,1.62564e-11,2.71633e-10
0.012,3.65179e-11,3.73658e-10
0.013,3.03485e-12,1.47796e-10
0.014,6.43907e-11,1.59605e-10
0.015,6.36151e-12,2.92558e-10
0.016,4.8361e-11,5.66966e-10
0.017,1.38126e-10,2.25031e-10
0.018,1.27421e-10,1.58519e-10
0.019,3.17803e-10,3.01441e-10
0.02,6.62234e-12,6.55041e-11
0.021,1.04644e-12,7.68777e-11
0.022,2.8932e-13,1.70045e-10
0.023,3.53287e-11,7.91162e-11
0.024,8.46543e-11,1.6076e-10


time, reg flux, resp flux
0,8.09263e-15,1.25189e-09
0.001,2.09931e-15,1.28867e-10
0.002,9.13557e-12,2.4625e-10
0.003,1.85853e-10,1.64735e-10
0.004,2.31957e-10,8.76341e-10
0.005,2.47615e-10,6.94894e-10
0.006,1.82485e-10,6.18954e-10
0.007,7.97535e-11,8.38571e-10
0.008,1.85698e-11,4.75222e-10
0.009,9.9743e-12,1.43165e-10
0.01,2.41055e-12,6.72145e-10
0.011,1.23631e-10,4.68093e-10
0.012,1.03438e-11,5.35605e-10
0.013,3.82644e-11,1.04001e-10
0.014,3.97556e-13,9.12449e-11
0.015,6.0189e-12,1.51922e-10
0.016,3.31035e-11,1.72586e-10
0.017,5.50791e-11,1.81973e-10
0.018,2.63889e-10,2.52977e-10
0.019,4.0557e-12,3.11399e-10
0.02,2.21926e-13,9.67229e-11
0.021,3.13474e-11,2.42828e-10
0.022,2.97432e-11,2.48573e-10
0.023,2.2799e-12,2.12134e-10
0.024,4.59363e-18,1.14295e-10


time, reg flux, resp flux
0,1.30729e-14,9.92153e-10
0.001,1.48072e-11,7.46175e-10
0.002,1.99127e-11,1.69745e-10
0.003,5.20548e-11,1.7799e-10
0.004,9.48061e-12,2.27905e-10
0.005,5.45377e-12,6.30262e-10
0.006,2.15694e-18,8.82275e-10
0.007,3.14529e-10,3.10366e-10
0.008,1.70767e-10,5.25402e-10
0.009,3.68693e-13,2.06853e-10
0.01,1.1474e-11,1.22489e-10
0.011,1.2944e-11,9.19929e-11
0.012,4.27182e-12,2.8458e-10
0.013,1.09881e-11,2.70432e-10
0.014,3.51373e-10,2.7676e-10
0.015,3.26381e-18,2.34196e-10
0.016,1.93027e-10,1.2887e-10
0.017,4.2872e-12,3.27054e-10
0.018,2.62636e-11,1.92383e-10
0.019,8.99321e-12,1.08401e-10
0.02,8.20759e-11,4.15835e-10
0.021,3.49699e-12,2.78228e-10
0.022,5.96683e-11,1.13904e-10
0.023,3.29651e-11,8.40057e-11
0.024,2.26874e-11,2.14638e-10


time, reg flux, resp flux
0,1.09361e-14,2.50135e-10
0.001,1.19791e-12,1.9772e-10
0.002,2.87061e-11,5.07751e-10
0.003,3.56471e-11,3.41337e-10
0.004,6.02574e-11,7.39979e-10
0.005,3.92925e-11,1.88308e-10
0.006,1.50882e-11,2.08782e-10
0.007,2.97776e-11,3.05783e-10
0.008,1.30893e-10,1.16781e-10
0.009,1.22752e-13,1.33204e-10
0.01,8.88875e-12,2.71473e-10
0.011,1.6017e-10,2.50648e-10
0.012,2.61094e-10,2.6071e-10
0.013,2.58472e-10,4.41833e-10
0.014,1.73833e-10,4.32775e-10
0.015,1.57963e-10,2.76081e-10
0.016,3.67832e-12,1.32734e-10
0.017,1.69163e-11,3.68076e-10
0.018,2.54604e-11,9.54186e-11
0.019,2.05313e-11,1.12089e-10
0.02,1.23879e-10,5.58718e-11
0.021,1.26857e-10,9.80754e-11
0.022,2.11706e-11,1.69913e-10
0.023,8.97759e-12,2.90502e-10
0.024,2.93103e-10,1.21561e-10


time, reg flux, resp flux
0,2.5396e-14,3.34175e-10
0.001,4.2849e-12,2.304e-10
0.002,2.92451e-11,3.89383e-10
0.003,9.51915e-11,5.08797e-10
0.004,4.50607e-11,6.78499e-10
0.005,7.15202e-12,1.63391e-10
0.006,1.14856e-10,3.81436e-10
0.007,7.11686e-12,2.39514e-10
0.008,2.57144e-11,3.53778e-10
0.009,2.88237e-10,3.26937e-10
0.01,2.34382e-10,2.57384e-10
0.011,1.98233e-12,7.28223e-10
0.012,4.8264e-13,2.41871e-10
0.013,6.03959e-11,4.44486e-10
0.014,1.2787e-10,5.34173e-10
0.015,2.40121e-11,1.70761e-10
0.016,2.37873e-11,2.45776e-10
0.017,1.72729e-11,1.38311e-10
0.018,8.12555e-12,1.88008e-10
0.019,1.20815e-10,3.90849e-10
0.02,8.53291e-12,3.57843e-10
0.021,1.98097e-12,2.94584e-10
0.022,2.59184e-10,1.24061e-10
