time, reg flux, resp flux
0,0,0
0.001,0,0
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
0,0,0
0,3.27891e-14,3.44049e-11,1.60981e-12
0.001,5.86922e-12,1.03697e-10,4.35945e-10
0.002,8.07999e-10,1.47444e-10,4.75688e-09
0.003,3.74666e-08,1.14882e-09,2.4875e-08
0.004,1.38953e-07,1.09881e-08,6.71277e-08
0.005,1.96994e-07,1.96477e-08,9.12047e-08
0.006,2.13949e-07,2.29399e-08,1.01129e-07
0.007,2.08558e-07,2.46522e-08,1.01679e-07
0.008,2.01295e-07,2.22138e-08,9.69952e-08
0.009,1.80398e-07,2.09279e-08,8.94364e-08
0.01,1.72671e-07,1.98221e-08,8.44696e-08
0.011,1.671e-07,1.89379e-08,8.39061e-08
0.012,1.67357e-07,1.81032e-08,8.10511e-08
0.013,1.57979e-07,1.72755e-08,7.72804e-08
0.014,1.517e-07,1.74134e-08,7.57657e-08
0.015,1.50199e-07,1.65285e-08,7.21355e-08
0.016,1.36506e-07,1.50868e-08,6.63604e-08
0.017,1.32195e-07,1.54642e-08,6.72076e-08
0.018,1.40718e-07,1.58792e-08,6.87286e-08
0.019,1.34221e-07,1.39664e-08,6.32102e-08
0.02,1.2814e-07,1.3906e-08,6.34327e-08
0.021,1.2687e-07,1.41419e-08,6.34652e-08
0.022,1.21328e-07,1.40418e-08,5.99047e-08
0.023,1.14963e-07,1.16788e-08,5.5108e-08
0.024,1.19375e-07,1.35509e-08,5.91829e-08


time, reg flux, resp flux, resp ang flux
0,2.38977e-14,2.38039e-11,1.26584e-12
0.001,1.34425e-11,9.63226e-11,4.49792e-10
0.002,8.10078e-10,1.77674e-10,4.71396e-09
0.003,3.53265e-08,1.42852e-09,2.5027e-08
0.004,1.46608e-07,1.14235e-08,6.77398e-08
0.005,1.94369e-07,2.2361e-08,9.21964e-08
0.006,2.13211e-07,2.42868e-08,1.01739e-07
0.007,2.0155e-07,2.43327e-08,1.00395e-07
0.008,2.01515e-07,2.1978e-08,9.55459e-08
0.009,1.83713e-07,2.05272e-08,8.82883e-08
0.01,1.7391e-07,1.99037e-08,8.44277e-08
0.011,1.77224e-07,1.96758e-08,8.59441e-08
0.012,1.57388e-07,1.89248e-08,7.93826e-08
0.013,1.63493e-07,1.92198e-08,8.09447e-08
0.014,1.52679e-07,1.7449e-08,7.70686e-08
0.015,1.50347e-07,1.75018e-08,7.5579e-08
0.016,1.46019e-07,1.45513e-08,7.11155e-08
0.017,1.34816e-07,1.5448e-08,6.88816e-08
0.018,1.33981e-07,1.74325e-08,6.96323e-08
0.019,1.36816e-07,1.50345e-08,6.67447e-08
0.02,1.37823e-07,1.48265e-08,6.91447e-08
0.021,1.28744e-07,1.58599e-08,6.56809e-08
0.022,1.23007e-07,1.37567e-08,6.01587e-08
0.023,1.19503e-07,1.27635e-08,5.9184e-08
0.024,1.20735e-07,1.55203e-08,6.08595e-08


